ai0,ai1,port0/line0,port0/line1,port0/line2,port0/line3
-1.446632534922637,-1.765576843776282,0.0,0.0,0.0,1.0
-1.3651193316963077,-1.6891360452794153,0.0,0.0,0.0,1.0
-1.2785115532683324,-1.5923110338500504,0.0,0.0,0.0,1.0
-1.2020929252436492,-1.50058207565381,0.0,0.0,0.0,1.0
-1.1511471732271925,-1.4292373303900678,0.0,0.0,0.0,1.0
-1.125674297218966,-1.3833728512919468,0.0,0.0,0.0,1.0
-1.1103905716140279,-1.3629886383594485,0.0,0.0,0.0,1.0
-1.1052959964123836,-1.3578925851263257,0.0,0.0,0.0,1.0
-1.1103905716140279,-1.3731807448256976,0.0,0.0,0.0,1.0
-1.1307688724206102,-1.4139491706906941,0.0,0.0,0.0,1.0
-1.1817146244370669,-1.4801978627213117,0.0,0.0,0.0,1.0
-1.2428495268568138,-1.5668307676844275,0.0,0.0,0.0,1.0
-1.319268154881497,-1.6483676194144206,0.0,0.0,0.0,1.0
-1.38549763250289,-1.7248084179112873,0.0,0.0,0.0,1.0
-1.4364433845193467,-1.7757689502425311,0.0,0.0,0.0,1.0
-1.4670108357292193,-1.801249216408154,0.0,0.0,0.0,1.0
-1.4822945613341574,-1.8165373761075276,0.0,0.0,0.0,1.0
-1.4975782869390937,-1.8165373761075276,0.0,0.0,0.0,1.0
-1.4924837117374476,-1.801249216408154,0.0,0.0,0.0,1.0
-1.4670108357292193,-1.75028868407691,0.0,0.0,0.0,1.0
-1.4058759333094724,-1.6738478855800416,0.0,0.0,0.0,1.0
-1.319268154881497,-1.5668307676844275,0.0,0.0,0.0,1.0
-1.2224712260502315,-1.449621543322566,0.0,0.0,0.0,1.0
-1.1358634476222562,-1.3477004786600766,0.0,0.0,0.0,1.0
-1.0798231204041553,-1.2814517866294572,0.0,0.0,0.0,1.0
-1.059444819597573,-1.261067573696959,0.0,0.0,0.0,1.0
-1.054350244395927,-1.2712596801632081,0.0,0.0,0.0,1.0
-1.059444819597573,-1.30693205279508,0.0,0.0,0.0,1.0
-1.0798231204041553,-1.3782767980588222,0.0,0.0,0.0,1.0
-1.12057972201732,-1.4852939159544363,0.0,0.0,0.0,1.0
-1.1817146244370669,-1.6126952467825486,0.0,0.0,0.0,1.0
-1.2581332524617501,-1.7451926308437855,0.0,0.0,0.0,1.0
-1.3345518804864351,-1.872593961671896,0.0,0.0,0.0,1.0
-1.4007813581078281,-1.9592268666350137,0.0,0.0,0.0,1.0
-1.446632534922637,-2.0203795054325067,0.0,0.0,0.0,1.0
-1.4771999861325114,-2.040763718365005,0.0,0.0,0.0,1.0
-1.5026728621407397,-2.0458597715981295,0.0,0.0,0.0,1.0
-1.51286201254403,-2.0356676651318804,0.0,0.0,0.0,1.0
-1.517956587745676,-2.0101873989662575,0.0,0.0,0.0,1.0
-1.4924837117374476,-1.9592268666350137,0.0,0.0,0.0,1.0
-1.4364433845193467,-1.872593961671896,0.0,0.0,0.0,1.0
-1.3600247564946617,-1.7757689502425311,0.0,0.0,0.0,1.0
-1.2734169780666882,-1.6636557791137943,0.0,0.0,0.0,1.0
-1.1969983500420032,-1.5566386612181802,0.0,0.0,0.0,1.0
-1.1460525980255483,-1.4700057562550626,0.0,0.0,0.0,1.0
-1.1103905716140279,-1.4190452239238187,0.0,0.0,0.0,1.0
-1.0951068460090916,-1.3884689045250713,0.0,0.0,0.0,1.0
-1.0798231204041553,-1.3782767980588222,0.0,0.0,0.0,1.0
-1.0849176956058013,-1.3935649577581959,0.0,0.0,0.0,1.0
-1.1002014212107376,-1.4445254900894415,0.0,0.0,0.0,1.0
-1.1511471732271925,-1.5260623418194328,0.0,0.0,0.0,1.0
-1.2224712260502315,-1.6330794597150469,0.0,0.0,0.0,1.0
